rank,company,license_out_score,gap,interest,activity,buyer_tier,cash_usd_bn,ma_lo,valuechain
1,BMS,0.7631,0.561,1.0,0.667,mega,11,high,integrated
2,Roche,0.5786,1.0,0.429,0.0,mega,15,high,integrated
3,Amgen,0.5333,0.643,0.0,0.833,mega,12,high,integrated
4,Merck,0.5202,0.357,0.429,0.667,mega,13,high,integrated
5,J&J,0.4783,0.388,0.114,0.833,mega,25,high,integrated
6,Novartis,0.4555,0.337,0.514,0.333,mega,11,high,integrated
7,Novo Nordisk,0.3471,0.143,0.057,1.0,unknown,,unknown,unknown
8,Boehringer Ingelheim,0.3298,0.48,0.029,0.333,large,6,med,integrated
9,Pfizer,0.2395,0.255,0.029,0.167,mega,13,high,integrated
10,Bayer,0.2329,0.245,0.257,0.0,large,6,med,integrated
11,AstraZeneca,0.2169,0.071,0.029,0.333,mega,8,high,integrated
12,GSK,0.1143,0.102,0.029,0.0,large,5,med,integrated
